Units,scenario,region,input,Year,value,fuel
EJ,Current-Policies-Med,South Korea,biomass,2015,5.340356758616,biomass
EJ,Current-Policies-Med,South Korea,biomass,2020,5.066798623166493,biomass
EJ,Current-Policies-Med,South Korea,biomass,2025,5.476683437996493,biomass
EJ,Current-Policies-Med,South Korea,biomass,2030,5.9814143054359885,biomass
EJ,Current-Policies-Med,South Korea,biomass,2035,5.965857178228996,biomass
EJ,Current-Policies-Med,South Korea,coal,2015,32.055895931681995,coal
EJ,Current-Policies-Med,South Korea,coal,2020,31.198098049779485,coal
EJ,Current-Policies-Med,South Korea,coal,2025,28.122092456970083,coal
EJ,Current-Policies-Med,South Korea,coal,2030,32.19837522750675,coal
EJ,Current-Policies-Med,South Korea,coal,2035,27.23254090310112,coal
EJ,Current-Policies-Med,South Korea,electricity,2015,42.41947386692672,electricity
EJ,Current-Policies-Med,South Korea,electricity,2020,44.519092937005745,electricity
EJ,Current-Policies-Med,South Korea,electricity,2025,48.093851066148694,electricity
EJ,Current-Policies-Med,South Korea,electricity,2030,52.8878277881784,electricity
EJ,Current-Policies-Med,South Korea,electricity,2035,55.08987130325356,electricity
EJ,Current-Policies-Med,South Korea,gas,2015,21.490810399670995,gas
EJ,Current-Policies-Med,South Korea,gas,2020,18.312915886560297,gas
EJ,Current-Policies-Med,South Korea,gas,2025,17.641241358556737,gas
EJ,Current-Policies-Med,South Korea,gas,2030,18.434946555442313,gas
EJ,Current-Policies-Med,South Korea,gas,2035,17.356092330620548,gas
EJ,Current-Policies-Med,South Korea,hydrogen,2020,0.006299290822252401,hydrogen
EJ,Current-Policies-Med,South Korea,hydrogen,2025,0.0767240963809142,hydrogen
EJ,Current-Policies-Med,South Korea,hydrogen,2030,0.9513396480776362,hydrogen
EJ,Current-Policies-Med,South Korea,hydrogen,2035,2.021608729620361,hydrogen
EJ,Current-Policies-Med,South Korea,refined liquids,2015,105.14946090968924,refined liquids
EJ,Current-Policies-Med,South Korea,refined liquids,2020,115.54655722645133,refined liquids
EJ,Current-Policies-Med,South Korea,refined liquids,2025,112.30409105546184,refined liquids
EJ,Current-Policies-Med,South Korea,refined liquids,2030,104.68488412683966,refined liquids
EJ,Current-Policies-Med,South Korea,refined liquids,2035,97.18987279403005,refined liquids
EJ,Current-Policies-Med,South Korea,traditional biomass,2015,0.10597822968316,biomass
EJ,Current-Policies-Med,South Korea,traditional biomass,2030,0.02707300780012,biomass
EJ,Current-Policies-Med,South Korea,traditional biomass,2035,0.0233963868337,biomass
EJ,High-Ambition-Med,South Korea,biomass,2015,5.340356758616,biomass
EJ,High-Ambition-Med,South Korea,biomass,2020,5.066798623166493,biomass
EJ,High-Ambition-Med,South Korea,biomass,2025,5.476683437996493,biomass
EJ,High-Ambition-Med,South Korea,biomass,2030,5.690240746173554,biomass
EJ,High-Ambition-Med,South Korea,biomass,2035,8.515908281675674,biomass
EJ,High-Ambition-Med,South Korea,coal,2015,32.055895931681995,coal
EJ,High-Ambition-Med,South Korea,coal,2020,31.198098049779485,coal
EJ,High-Ambition-Med,South Korea,coal,2025,28.122092456970083,coal
EJ,High-Ambition-Med,South Korea,coal,2030,23.622190810930164,coal
EJ,High-Ambition-Med,South Korea,coal,2035,20.73564802463298,coal
EJ,High-Ambition-Med,South Korea,electricity,2015,42.41947386692672,electricity
EJ,High-Ambition-Med,South Korea,electricity,2020,44.519092937005745,electricity
EJ,High-Ambition-Med,South Korea,electricity,2025,48.093851066148694,electricity
EJ,High-Ambition-Med,South Korea,electricity,2030,52.16915158042318,electricity
EJ,High-Ambition-Med,South Korea,electricity,2035,54.832752060485355,electricity
EJ,High-Ambition-Med,South Korea,gas,2015,21.490810399670995,gas
EJ,High-Ambition-Med,South Korea,gas,2020,18.312915886560297,gas
EJ,High-Ambition-Med,South Korea,gas,2025,17.641241358556737,gas
EJ,High-Ambition-Med,South Korea,gas,2030,19.146336007749706,gas
EJ,High-Ambition-Med,South Korea,gas,2035,14.517425673007267,gas
EJ,High-Ambition-Med,South Korea,hydrogen,2020,0.006299290822252401,hydrogen
EJ,High-Ambition-Med,South Korea,hydrogen,2025,0.0767240963809142,hydrogen
EJ,High-Ambition-Med,South Korea,hydrogen,2030,2.6729779213813973,hydrogen
EJ,High-Ambition-Med,South Korea,hydrogen,2035,7.096125483040654,hydrogen
EJ,High-Ambition-Med,South Korea,refined liquids,2015,105.14946090968924,refined liquids
EJ,High-Ambition-Med,South Korea,refined liquids,2020,115.54655722645133,refined liquids
EJ,High-Ambition-Med,South Korea,refined liquids,2025,112.30409105546184,refined liquids
EJ,High-Ambition-Med,South Korea,refined liquids,2030,95.30188548271347,refined liquids
EJ,High-Ambition-Med,South Korea,refined liquids,2035,80.95833212065125,refined liquids
EJ,High-Ambition-Med,South Korea,traditional biomass,2015,0.10597822968316,biomass
EJ,High-Ambition-Med,South Korea,traditional biomass,2030,0.02707300780012,biomass
EJ,High-Ambition-Med,South Korea,traditional biomass,2035,0.09812415873829998,biomass
