차종,제조사,모델명,국비 (만원),지방비 (만원),보조금 (만원),text,연도,행정구역
승합(중형),현대자동차,카운티 일렉트릭(128kWh),5572,100,5672,2021년도 전기자동차 부산광역시 모델별 보조금,2021,부산광역시
승합(중형),현대자동차,카운티 일렉트릭(어린이운송용 30인승),5732,100,5832,2021년도 전기자동차 부산광역시 모델별 보조금,2021,부산광역시
승합(중형),현대자동차,카운티 일렉트릭(64kWh),4297,100,4397,2021년도 전기자동차 부산광역시 모델별 보조금,2021,부산광역시
승합(중형),현대자동차,"카운티 일렉트릭(64kWh, 어린이운송용)",4139,100,4239,2021년도 전기자동차 부산광역시 모델별 보조금,2021,부산광역시
승합(중형),현대자동차,(단종)카운티 일렉트릭(어린이운송용 33인승 V2),6000,100,6100,2021년도 전기자동차 부산광역시 모델별 보조금,2021,부산광역시
승합(중형),현대자동차,카운티 일렉트릭(어린이운송용 33인승),5732,100,5832,2021년도 전기자동차 부산광역시 모델별 보조금,2021,부산광역시
승합(중형),현대자동차,카운티 일렉트릭,5732,100,5832,2021년도 전기자동차 부산광역시 모델별 보조금,2021,부산광역시
승합(중형),현대자동차,카운티 일렉트릭(마을버스 23인승),5732,100,5832,2021년도 전기자동차 부산광역시 모델별 보조금,2021,부산광역시
승합(중형),현대자동차,카운티 일렉트릭(마을버스 20인승),5732,100,5832,2021년도 전기자동차 부산광역시 모델별 보조금,2021,부산광역시
승합(중형),우진산전,아폴로750,6000,100,6100,2021년도 전기자동차 부산광역시 모델별 보조금,2021,부산광역시
승합(중형),우진산전,아폴로750(15인승),6000,100,6100,2021년도 전기자동차 부산광역시 모델별 보조금,2021,부산광역시
승합(중형),우진산전,아폴로750전기버스,6000,100,6100,2021년도 전기자동차 부산광역시 모델별 보조금,2021,부산광역시
승합(중형),이비온,E6,3347,100,3447,2021년도 전기자동차 부산광역시 모델별 보조금,2021,부산광역시
승합(중형),GS글로벌,eBus-7,3250,100,3350,2021년도 전기자동차 부산광역시 모델별 보조금,2021,부산광역시
승합(중형),GS글로벌,NEW BYD eBus-7,5676,100,5776,2021년도 전기자동차 부산광역시 모델별 보조금,2021,부산광역시
