차종,제조사,모델명,국비 (만원),지방비 (만원),보조금 (만원),text,연도,행정구역
일반승용,현대자동차,"코나(기본형, PTC, 모던)",800,450,1250,2021년도 전기자동차 부산광역시 모델별 보조금,2021,부산광역시
일반승용,현대자동차,"코나(기본형, PTC, 프리미엄)",800,450,1250,2021년도 전기자동차 부산광역시 모델별 보조금,2021,부산광역시
일반승용,현대자동차,"코나(기본형, HP, 모던)",800,450,1250,2021년도 전기자동차 부산광역시 모델별 보조금,2021,부산광역시
일반승용,현대자동차,"코나(기본형, HP, 프리미엄)",800,450,1250,2021년도 전기자동차 부산광역시 모델별 보조금,2021,부산광역시
일반승용,현대자동차,"코나(경제형, PTC, 모던)",690,388,1078,2021년도 전기자동차 부산광역시 모델별 보조금,2021,부산광역시
일반승용,현대자동차,"코나(경제형, PTC, 프리미엄)",690,388,1078,2021년도 전기자동차 부산광역시 모델별 보조금,2021,부산광역시
일반승용,현대자동차,"코나(경제형, HP, 모던)",690,388,1078,2021년도 전기자동차 부산광역시 모델별 보조금,2021,부산광역시
일반승용,현대자동차,"코나(경제형, HP, 프리미엄)",690,388,1078,2021년도 전기자동차 부산광역시 모델별 보조금,2021,부산광역시
일반승용,현대자동차,아이오닉(HP),733,412,1145,2021년도 전기자동차 부산광역시 모델별 보조금,2021,부산광역시
일반승용,현대자동차,아이오닉(PTC),701,394,1095,2021년도 전기자동차 부산광역시 모델별 보조금,2021,부산광역시
일반승용,현대자동차,아이오닉5 2WD 롱레인지 20인치,800,450,1250,2021년도 전기자동차 부산광역시 모델별 보조금,2021,부산광역시
일반승용,현대자동차,아이오닉5 2WD 롱레인지 19인치,800,450,1250,2021년도 전기자동차 부산광역시 모델별 보조금,2021,부산광역시
일반승용,현대자동차,아이오닉5 2WD 롱레인지 19인치 빌트인 캠 미적용,800,450,1250,2021년도 전기자동차 부산광역시 모델별 보조금,2021,부산광역시
일반승용,현대자동차,아이오닉5 AWD 롱레인지 20인치,773,434,1207,2021년도 전기자동차 부산광역시 모델별 보조금,2021,부산광역시
일반승용,현대자동차,아이오닉5 AWD 롱레인지 19인치,785,441,1226,2021년도 전기자동차 부산광역시 모델별 보조금,2021,부산광역시
일반승용,현대자동차,아이오닉5 2WD 스탠다드 19인치,791,444,1235,2021년도 전기자동차 부산광역시 모델별 보조금,2021,부산광역시
일반승용,현대자동차,아이오닉5 AWD 롱레인지 20인치,774,435,1209,2021년도 전기자동차 부산광역시 모델별 보조금,2021,부산광역시
일반승용,현대자동차,Electrified G80 AWD 19인치,379,213,592,2021년도 전기자동차 부산광역시 모델별 보조금,2021,부산광역시
