차종,제조사,모델명,국비 (만원),지방비 (만원),보조금 (만원),text,연도,행정구역
화물(초소형),스마트솔루션즈,D2C,600,250.0,850.0,2022년도 전기자동차 부산광역시 모델별 보조금,2022,부산광역시
화물(초소형),스마트솔루션즈,D2P,600,250.0,850.0,2022년도 전기자동차 부산광역시 모델별 보조금,2022,부산광역시
화물(초소형),루트17,다니고3,600,250.0,850.0,2022년도 전기자동차 부산광역시 모델별 보조금,2022,부산광역시
화물(초소형),루트17,다니고3 픽업,600,250.0,850.0,2022년도 전기자동차 부산광역시 모델별 보조금,2022,부산광역시
화물(초소형),마스타전기차,MASTA VAN,600,250.0,850.0,2022년도 전기자동차 부산광역시 모델별 보조금,2022,부산광역시
화물(초소형),마스타전기차,MASTA HIM,600,250.0,850.0,2022년도 전기자동차 부산광역시 모델별 보조금,2022,부산광역시
화물(초소형),마스타전기차,MASTA HIM-PU,600,250.0,850.0,2022년도 전기자동차 부산광역시 모델별 보조금,2022,부산광역시
화물(초소형),디피코,(단종)포트로,600,250.0,850.0,2022년도 전기자동차 부산광역시 모델별 보조금,2022,부산광역시
화물(초소형),디피코,포트로-탑,600,250.0,850.0,2022년도 전기자동차 부산광역시 모델별 보조금,2022,부산광역시
화물(초소형),디피코,포트로-픽업,600,250.0,850.0,2022년도 전기자동차 부산광역시 모델별 보조금,2022,부산광역시
화물(초소형),디피코,포트로-탑S,600,250.0,850.0,2022년도 전기자동차 부산광역시 모델별 보조금,2022,부산광역시
화물(초소형),디피코,포트로-픽업S,600,250.0,850.0,2022년도 전기자동차 부산광역시 모델별 보조금,2022,부산광역시
화물(초소형),진우에스엠씨,포텐스,600,250.0,850.0,2022년도 전기자동차 부산광역시 모델별 보조금,2022,부산광역시
화물(경형),파워프라자,라보ev PEACE,1000,360.0,1360.0,2022년도 전기자동차 부산광역시 모델별 보조금,2022,부산광역시
화물(소형),제인모터스,제인모터스칼마토EV1톤내장탑차,1055,376.0,1431.0,2022년도 전기자동차 부산광역시 모델별 보조금,2022,부산광역시
화물(소형),파워프라자,봉고3ev PEACE,1034,369.0,1403.0,2022년도 전기자동차 부산광역시 모델별 보조금,2022,부산광역시
화물(소형),파워프라자,봉고3ev PEACE 더블캡,980,350.0,1330.0,2022년도 전기자동차 부산광역시 모델별 보조금,2022,부산광역시
화물(소형),현대자동차,포터Ⅱ 일렉트릭(24MY),1400,500.0,1900.0,2022년도 전기자동차 부산광역시 모델별 보조금,2022,부산광역시
화물(소형),기아,봉고 전기차,1400,500.0,1900.0,2022년도 전기자동차 부산광역시 모델별 보조금,2022,부산광역시
화물(소형),기아,봉고 전기차 냉동탑차,1840,500.0,2340.0,2022년도 전기자동차 부산광역시 모델별 보조금,2022,부산광역시
화물(소형),기아,봉고 전기차 저상형 냉동탑차,1840,500.0,2340.0,2022년도 전기자동차 부산광역시 모델별 보조금,2022,부산광역시
화물(소형),일진정공,일진무시동전기냉동탑차(149.9km),1543,500.0,2043.0,2022년도 전기자동차 부산광역시 모델별 보조금,2022,부산광역시
화물(소형),일진정공,일진무시동전기냉동탑차(186.1km),1783,500.0,2283.0,2022년도 전기자동차 부산광역시 모델별 보조금,2022,부산광역시
화물(소형),일진정공,일진무시동전기냉동탑차(봉고),1840,500.0,2340.0,2022년도 전기자동차 부산광역시 모델별 보조금,2022,부산광역시
화물(소형),일진정공,일진무시동전기냉동탑차(포터),1840,500.0,2340.0,2022년도 전기자동차 부산광역시 모델별 보조금,2022,부산광역시
화물(소형),코리아에어카고에이전시,LSEV,1077,384.0,1461.0,2022년도 전기자동차 부산광역시 모델별 보조금,2022,부산광역시
화물(소형),루트17,다니고밴,1202,429.0,1631.0,2022년도 전기자동차 부산광역시 모델별 보조금,2022,부산광역시
화물(소형),루트17,다니고C(0.8톤 전기트럭),1400,500.0,1900.0,2022년도 전기자동차 부산광역시 모델별 보조금,2022,부산광역시
화물(소형),케이지모빌리티커머셜,SMART T1.0,1132,404.0,1536.0,2022년도 전기자동차 부산광역시 모델별 보조금,2022,부산광역시
화물(소형),한신자동차,플러스,1257,448.0,1705.0,2022년도 전기자동차 부산광역시 모델별 보조금,2022,부산광역시
화물(소형),한신자동차,플러스2.0,1226,437.0,1663.0,2022년도 전기자동차 부산광역시 모델별 보조금,2022,부산광역시
