차종,제조사,모델명,국비 (만원),지방비 (만원),보급목표이행보조금등 (만원),보조금 (만원),text,연도,행정구역
일반승용,현대자동차,Electrified G80 AWD 19인치,337,148,0,485,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
일반승용,현대자동차,GV60 스탠다드 2WD 19인치,340,150,0,490,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
일반승용,현대자동차,GV60 스탠다드 AWD 19인치,337,148,0,485,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
일반승용,현대자동차,GV60 스탠다드 AWD 20인치,326,143,0,469,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
일반승용,현대자동차,GV60 퍼포먼스 AWD 21인치,311,137,0,448,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
일반승용,현대자동차,Electrified GV70 AWD 20인치,322,142,0,464,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
일반승용,현대자동차,Electrified GV70 AWD 19인치,337,148,0,485,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
일반승용,현대자동차,아이오닉5 2WD 롱레인지 19인치,680,300,80,1060,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
일반승용,현대자동차,아이오닉5 2WD 롱레인지 19인치 빌트인 캠 미적용,680,300,80,1060,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
일반승용,현대자동차,아이오닉5 2WD 롱레인지 20인치,680,300,80,1060,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
일반승용,현대자동차,아이오닉5 AWD 롱레인지 19인치,680,300,80,1060,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
일반승용,현대자동차,아이오닉5 AWD 롱레인지 20인치,655,288,80,1023,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
일반승용,현대자동차,아이오닉5 2WD 스탠다드 19인치,678,299,80,1057,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
일반승용,현대자동차,아이오닉5 AWD 스탠다드 19인치,653,288,80,1021,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
일반승용,현대자동차,아이오닉6 스탠다드 2WD 18인치,680,300,80,1060,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
일반승용,현대자동차,아이오닉6 롱레인지 2WD 18인치,680,300,80,1060,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
일반승용,현대자동차,아이오닉6 롱레인지 2WD 20인치,680,300,80,1060,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
일반승용,현대자동차,아이오닉6 롱레인지 AWD 18인치,680,300,80,1060,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
일반승용,현대자동차,아이오닉6 롱레인지 AWD 20인치,680,300,80,1060,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
일반승용,현대자동차,코나 일렉트릭 2WD 스탠다드 17인치,680,300,60,1040,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
일반승용,현대자동차,코나 일렉트릭 2WD 롱레인지 17인치,680,300,60,1040,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
일반승용,현대자동차,코나 일렉트릭 2WD 롱레인지 19인치(빌트인 캠),667,294,60,1021,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
일반승용,현대자동차,아이오닉5 N,301,132,0,433,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
일반승용,기아,EV6 스탠다드 2WD 19인치,680,300,64,1044,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
