year,category,n_sites,subsidy_baek
2022,일반-계속-2년-1기,5,2700
2022,일반-계속-2년-2기,10,1500
2022,일반-신규-2년-1기,1,300
2022,일반-신규-2년-2기,7,2500
2022,일반-신규-단년-1기,3,3000
2022,일반-신규-단년-2기,3,5000
2022,일반-증설-재정,1,2000
2022,일반-증설-민간,5,1500
2022,특수-계속-2년-재정,1,5400
2022,특수-계속-2년-민간,16,3000
2022,특수-신규-2년-재정,3,600
2022,특수-신규-2년-민간,20,3000
2022,특수-신규-단년-재정,4,6000
2022,특수-신규-단년-민간,8,6000
2022,액화-신규-2년-민간,5,5000
2022,CO2회수설비,1,2500
2023,일반-계속-2년-1기,1,2700
2023,일반-계속-2년-2기,7,2500
2023,일반-신규-2년-1기,3,300
2023,일반-신규-2년-2기,6,2500
2023,일반-신규-단년-1기,1,3000
2023,일반-신규-단년-2기,3,5000
2023,일반-증설-재정,2,2000
2023,일반-증설-민간,3,2000
2023,특수-계속-2년-재정,3,5400
2023,특수-계속-2년-민간,20,3000
2023,특수-신규-2년-재정,3,600
2023,특수-신규-2년-민간,14,3000
2023,특수-신규-단년-재정,3,6000
2023,특수-신규-단년-민간,2,6000
2023,액화-계속-2년-민간,5,5000
2023,액화-신규-2년-민간,10,5000
2024,일반-신규-2년-1기,2,300
2024,일반-신규-2년-2기,2,2500
2024,일반-신규-단년-2기,1,5000
2024,일반-증설-재정,1,2000
2024,일반-증설-민간,2,2000
2024,특수-계속-2년-재정,1,5400
2024,특수-계속-2년-민간,6,3000
2024,특수-신규-2년-재정,1,600
2024,특수-신규-2년-민간,10,3000
2024,특수-신규-단년-재정,3,6000
2024,특수-신규-단년-민간,1,6000
2024,액화-계속-2년-민간,20,5000
2024,액화-신규-2년-민간,11,5000
2024,액화-신규-단년-재정,1,10000
